first_name,last_name,email,position,graduation_year,interests,status,phone_number,age,major
Stanwood,Durnill,Stanwood.Durnill@northeastern.edu,644905,2025,Ps,Inactive,573-415-5840,21,Ac
Gillian,McCarlich,Gillian.McCarlich@northeastern.edu,2530-187,2028,BA,Pendingg,798-943-3348,24,CS
Blanca,Atty,Blanca.Atty@northeastern.edu,1049,2026,Ma,Officerr,445-701-9330,22,Ch
Cazzie,Hetterich,Cazzie.Hetterich@northeastern.edu,,2028,EL,Officerr,611-150-9693,24,Nu
Amabelle,Floweth,Amabelle.Floweth@northeastern.edu,,2027,IT,Pendingg,311-433-2954,23,Ma
Dasi,Guerrin,Dasi.Guerrin@northeastern.edu,8301,2026,CS,Inactive,820-102-1707,22,Co
Lloyd,Garmston,Lloyd.Garmston@northeastern.edu,,2029,Ac,Pendingg,957-426-1742,25,PS
Marty,Allin,Marty.Allin@northeastern.edu,51242,2026,Ps,Inactive,690-531-1100,22,ME
Aksel,Rex,Aksel.Rex@northeastern.edu,,2028,BA,Pendingg,815-820-9430,24,Ps
Fowler,Petricek,Fowler.Petricek@northeastern.edu,,2026,IT,Pendingg,248-137-0933,22,Nu
Evie,Yeld,Evie.Yeld@northeastern.edu,,2029,BA,Inactive,570-359-7772,25,PS
Prentiss,Woodier,Prentiss.Woodier@northeastern.edu,13155 CEDEX,2025,ES,Pendingg,813-649-1373,21,Ac
Aili,Simkin,Aili.Simkin@northeastern.edu,,2027,Fi,Pendingg,873-824-9589,23,Fi
Mort,Lawerence,Mort.Lawerence@northeastern.edu,14000-000,2024,Co,Activeee,598-191-0501,20,Co
Maxy,Threadgall,Maxy.Threadgall@northeastern.edu,,2026,CS,Officerr,494-372-6031,22,PS
Alie,Lambertson,Alie.Lambertson@northeastern.edu,,2025,IT,Inactive,352-884-4475,21,CE
Sherlock,Foottit,Sherlock.Foottit@northeastern.edu,,2028,Ch,Activeee,861-515-0055,24,IT
Rosalinde,Abramovici,Rosalinde.Abramovici@northeastern.edu,94409 CEDEX,2027,Ac,Activeee,745-328-9646,23,Ma
Vail,Buckler,Vail.Buckler@northeastern.edu,,2025,Ma,Officerr,173-214-3365,21,ME
Bondy,Carlone,Bondy.Carlone@northeastern.edu,81803,2028,EL,Pendingg,279-347-2413,24,Ma
Mordecai,Pittman,Mordecai.Pittman@northeastern.edu,,2029,EE,Pendingg,990-444-0457,25,Ch
Arabel,Skalls,Arabel.Skalls@northeastern.edu,,2025,Fi,Inactive,998-754-4362,21,PS
Kristy,Chapellow,Kristy.Chapellow@northeastern.edu,9207,2025,Ec,Inactive,329-299-9199,21,Ac
Fran,Dayne,Fran.Dayne@northeastern.edu,,2024,Co,Activeee,555-706-5504,20,ME
Tonye,Sarfass,Tonye.Sarfass@northeastern.edu,,2028,Co,Officerr,785-757-1368,24,EL
Delila,Caslin,Delila.Caslin@northeastern.edu,77553-000,2026,CS,Activeee,387-981-1481,22,Bi
Alanna,Fines,Alanna.Fines@northeastern.edu,11130,2027,Ps,Activeee,517-328-5260,23,Ma
Trista,Fairnington,Trista.Fairnington@northeastern.edu,17560-000,2029,Fi,Activeee,272-814-8426,25,ME
Spence,O'Growgane,Spence.O'Growgane@northeastern.edu,33196,2027,PS,Pendingg,305-542-4095,23,Ma
Mervin,Shearmur,Mervin.Shearmur@northeastern.edu,95-036,2027,IT,Officerr,938-446-1129,23,Fi
Josi,Dobbings,Josi.Dobbings@northeastern.edu,,2025,Co,Officerr,725-962-8996,21,Ec
Melesa,Tubridy,Melesa.Tubridy@northeastern.edu,,2029,IT,Activeee,568-983-2872,25,CE
Skelly,Sall,Skelly.Sall@northeastern.edu,43-245,2026,Ma,Inactive,426-621-0476,22,EL
Clarissa,Bunhill,Clarissa.Bunhill@northeastern.edu,,2024,Ed,Pendingg,414-246-4254,20,Ma
Adel,Novkovic,Adel.Novkovic@northeastern.edu,4806,2029,ME,Inactive,515-855-8623,25,IT
