first_name,last_name,status,email,memberID,phone_number,position
Shay,Keepe,Inactive,Shay.Keepe@northeastern.edu,01HVFCDXKPMWG3N1AGKW29EH8N,569-835-8910,6711
Cornie,Rankmore,Activeee,Cornie.Rankmore@northeastern.edu,01HVFCDXKRAZETBWWYJBWMWK3Y,623-658-3568,
Vinson,Waterfall,Inactive,Vinson.Waterfall@northeastern.edu,01HVFCDXKTAAYJXR4R3WJSQJ5J,197-914-5796,6090-215
Caterina,Disbrow,Activeee,Caterina.Disbrow@northeastern.edu,01HVFCDXKWDNPE3WPJKXJPW0CQ,163-222-4703,
Gill,Colles,Activeee,Gill.Colles@northeastern.edu,01HVFCDXKYDQS7R3G4JN2MDBAW,779-214-0423,P81
Cart,Mc Cahey,Inactive,Cart.Mc Cahey@northeastern.edu,01HVFCDXM0AND1C9W8JZKK6REF,834-796-0385,31170
Leonhard,Andrivel,Inactive,Leonhard.Andrivel@northeastern.edu,01HVFCDXM291AHEPM7H5Z2CDXG,870-411-1945,
Pierce,Cowgill,Inactive,Pierce.Cowgill@northeastern.edu,01HVFCDXM4KYF319XH16TBTQZR,537-655-5938,
Fedora,Brahan,Inactive,Fedora.Brahan@northeastern.edu,01HVFCDXM6F91XKYTEXEQFGNZX,928-438-0140,
Des,Maureen,Officerr,Des.Maureen@northeastern.edu,01HVFCDXM8Z93BBB29YCBVSEGA,886-476-7692,
Bobinette,ffrench Beytagh,Activeee,Bobinette.ffrench Beytagh@northeastern.edu,01HVFCDXMAX1TTWD25V2YJQ8VA,340-982-8256,
Emile,De la Yglesia,Officerr,Emile.De la Yglesia@northeastern.edu,01HVFCDXMC9C59XGTJFZG8XDB8,740-833-9668,18120
Claudelle,Shillito,Inactive,Claudelle.Shillito@northeastern.edu,01HVFCDXMEJE4RNDE8T7QWBSSR,223-312-2631,75547 CEDEX 11
Marnia,Feldhorn,Pendingg,Marnia.Feldhorn@northeastern.edu,01HVFCDXMGFRWTVQG4G1HAQ796,441-425-5633,
Marys,Cissen,Pendingg,Marys.Cissen@northeastern.edu,01HVFCDXMJXVJKWX1ECMCX3ZKR,610-538-8303,65075
Hanny,Brockhouse,Activeee,Hanny.Brockhouse@northeastern.edu,01HVFCDXMMHVK4QV9SAVG3TFW3,282-192-5832,6224
Briana,Yitzowitz,Pendingg,Briana.Yitzowitz@northeastern.edu,01HVFCDXMPEKNYS5GQK934S1PE,351-866-5580,
Aubert,Hush,Inactive,Aubert.Hush@northeastern.edu,01HVFCDXMR7ASRCSW19QHBAEBY,876-510-1316,62-510
