first_name,last_name,email,phone_number,clubid
Rocky,Tarplee,Rocky.Tarplee@northeastern.edu,755-954-7957,661c5be6fc13ae7342ab8abe
Lauren,Pinwill,Lauren.Pinwill@northeastern.edu,902-488-5273,661c5be6fc13ae7342ab8abf
Blithe,Tweedell,Blithe.Tweedell@northeastern.edu,839-572-9431,661c5be6fc13ae7342ab8abd
Tadd,Davidovics,Tadd.Davidovics@northeastern.edu,948-486-3206,661c5be6fc13ae7342ab8abf
Crosby,Saill,Crosby.Saill@northeastern.edu,619-127-5592,661c5be6fc13ae7342ab8ac0
Eamon,Taft,Eamon.Taft@northeastern.edu,693-814-3770,661c5be6fc13ae7342ab8abd
Brittan,Thomassin,Brittan.Thomassin@northeastern.edu,386-851-0185,661c5be6fc13ae7342ab8ac0
Brade,Beamiss,Brade.Beamiss@northeastern.edu,491-482-0224,661c5be6fc13ae7342ab8abf
Maire,McCaughren,Maire.McCaughren@northeastern.edu,326-676-2887,661c5be6fc13ae7342ab8abf
Janek,Dabner,Janek.Dabner@northeastern.edu,856-260-9799,661c5be6fc13ae7342ab8abd
